CMPLNT_NUM,CMPLNT_DATE_ISO,UBERHEX_FID,PRECINCT_ID,OFNS_DESC,X_COORD_CD,Y_COORD_CD,LATITUDE,LONGITUDE
48400727,16/07/2008,2,41,BURGLARY,1015386,237462,40.818399,-73.887507
38269549,22/01/2008,2,41,FELONY ASSAULT,1015386,237462,40.818399,-73.887507
44450496,09/03/2008,2,41,FELONY ASSAULT,1015482,237651,40.81892,-73.887162
44520304,13/03/2008,2,41,FELONY ASSAULT,1015482,237651,40.81892,-73.887162
54881042,11/12/2008,2,41,FELONY ASSAULT,1015482,237651,40.81892,-73.887162
52744201,29/10/2008,2,41,BURGLARY,1015482,237651,40.81892,-73.887162
44520263,13/03/2008,2,41,FELONY ASSAULT,1015482,237651,40.81892,-73.887162
52517131,26/10/2008,2,41,ROBBERY,1015610,237678,40.81899115,-73.8866994
38838988,02/02/2008,2,41,FELONY ASSAULT,1015684,237302,40.81796,-73.886431
44734527,23/03/2008,2,41,FELONY ASSAULT,1015684,237302,40.81796,-73.886431
45973199,25/04/2008,2,41,BURGLARY,1015684,237302,40.81796,-73.886431
51987325,06/10/2008,2,41,BURGLARY,1015684,237302,40.81796,-73.886431
47251205,14/06/2008,2,41,FELONY ASSAULT,1015737,237703,40.819059,-73.886239
51658152,23/09/2008,2,41,GRAND LARCENY OF MOTOR VEHICLE,1015737,237703,40.819059,-73.886239
44642165,16/03/2008,2,41,BURGLARY,1015737,237703,40.819059,-73.886239
32969075,04/07/2007,2,41,BURGLARY,1015386,237462,40.818399,-73.887507
26983801,19/02/2007,2,41,GRAND LARCENY OF MOTOR VEHICLE,1015684,237302,40.81796,-73.886431
33796639,08/08/2007,2,41,BURGLARY,1015463,237087,40.81737,-73.887232
35194965,19/10/2007,2,41,BURGLARY,1015386,237462,40.818399,-73.887507
26142207,04/01/2007,2,41,FELONY ASSAULT,1015684,237302,40.81796,-73.886431
36004766,20/11/2007,2,41,BURGLARY,1015386,237462,40.818399,-73.887507
34934250,30/09/2007,2,41,ROBBERY,1015386,237462,40.818399,-73.887507
26814680,10/02/2007,2,41,GRAND LARCENY OF MOTOR VEHICLE,1015463,237087,40.81737,-73.887232
28869830,05/05/2007,2,41,FELONY ASSAULT,1015684,237302,40.81796,-73.886431
