component_id,size,min_datetime,max_datetime,center_x,center_y
59,3,2022-01-23 10:30:00,2022-01-25 04:30:00,1980844.8832201406,781177.3014723792
60,3,2022-02-11 14:00:00,2022-02-20 16:30:00,1984326.1943748302,792314.6856299316
61,3,2022-07-26 17:00:00,2022-08-01 07:00:00,1982257.3050231943,790079.494872359
62,3,2022-01-17 11:00:00,2022-01-19 11:00:00,1981726.8066135582,788481.9317281944
63,3,2022-02-02 23:30:00,2022-02-11 02:00:00,1989454.70582546,791311.3656893858
64,3,2022-07-22 17:30:00,2022-07-22 22:00:00,1983487.8034412942,796657.8234127038
65,3,2022-02-08 16:00:00,2022-02-15 17:00:00,1983593.1170002033,797241.8864739925
66,3,2022-10-04 07:00:00,2022-10-04 14:00:00,1984194.26185264,789954.3846509157
67,3,2022-11-04 13:00:00,2022-11-05 19:56:00,1978965.1777216066,779313.1675563989
68,3,2022-08-17 11:00:00,2022-08-18 04:08:00,1993134.411680663,797879.258529665
69,3,2022-08-31 16:00:00,2022-09-01 05:33:00,1993775.614277826,796672.6505795941
70,3,2023-03-26 09:00:00,2023-04-02 11:00:00,1984326.0877886557,792314.6820466468
71,3,2023-05-16 17:15:00,2023-05-18 00:05:00,1982909.7156971383,786972.1630422688
72,3,2023-05-20 15:00:00,2023-05-20 23:10:00,1981954.4354014548,804743.1454795129
73,3,2023-07-01 01:00:00,2023-07-05 22:00:00,1982270.3620861026,789484.0426973227
74,3,2023-06-08 07:00:00,2023-06-08 17:30:00,1983942.7946268313,789474.7506697198
75,3,2023-09-13 15:30:00,2023-09-24 13:30:00,1984493.9324968085,787926.1757838303
76,3,2023-09-11 05:00:00,2023-09-17 09:30:00,1995615.9832607585,799662.0936612937
77,3,2023-09-12 12:25:00,2023-09-15 05:00:00,1983312.2430858705,804882.5916103306
78,3,2024-04-24 03:15:00,2024-04-28 04:12:00,1997078.1277674667,782855.3400866842
79,3,2024-06-24 15:36:00,2024-06-30 16:00:00,1983034.1813747648,788729.1662777225
80,3,2024-07-21 06:00:00,2024-07-21 18:45:00,1988437.0658618447,780662.9783593452
81,3,2024-10-09 09:00:00,2024-10-16 19:00:00,1992026.2215424345,794487.5183389466
82,3,2024-11-12 12:15:00,2024-11-16 13:00:00,1991975.0486273423,794573.6249432935
83,3,2024-08-17 11:01:00,2024-08-21 14:00:00,1982421.3251646,800159.9803928882
84,3,2024-12-17 13:05:00,2024-12-27 12:30:00,1990424.4174691737,793187.8060259089
85,3,2024-09-03 16:00:00,2024-09-10 19:30:00,1982031.3781243106,786566.2949308525
86,3,2024-09-14 21:31:00,2024-09-21 16:30:00,1997001.5901112158,782860.371188427
87,3,2025-07-25 02:30:00,2025-07-25 03:00:00,1998438.9209895532,801977.0811378754
88,3,2025-01-20 07:00:00,2025-01-23 16:00:00,1995367.9576682032,792521.9407040514
89,3,2025-03-11 04:20:00,2025-03-18 13:30:00,1980997.096555528,775618.9050007357
90,3,2025-06-15 17:30:00,2025-06-22 17:00:00,1981490.3283114836,787233.616947772
91,2,2020-02-10 12:30:00,2020-02-10 21:58:00,1982791.6105331117,804079.5885458355
92,2,2020-03-01 09:20:00,2020-03-01 09:40:00,1981089.2762955113,802874.1014503994
93,2,2020-02-04 13:00:00,2020-02-04 15:00:00,1992539.1370284639,800024.3617656154
94,2,2020-02-20 03:00:00,2020-02-20 12:30:00,1998920.2764816256,797269.2976715303
95,2,2020-06-17 06:00:00,2020-06-18 12:00:00,1990625.7844305588,791904.4895590255
96,2,2020-06-20 10:00:00,2020-06-20 11:00:00,1979971.8375503416,781747.374589122
97,2,2020-05-25 15:00:00,2020-05-25 15:35:00,1980799.5877217816,781207.9077215203
98,2,2020-07-11 15:00:00,2020-07-11 16:30:00,1981515.2622851403,803735.6397356158
99,2,2020-08-05 13:00:00,2020-08-05 13:30:00,1987149.3280712252,789568.3018196672
100,2,2020-07-14 15:30:00,2020-07-15 16:30:00,1994195.0895486455,796473.9343673005
101,2,2020-08-04 13:00:00,2020-08-04 16:00:00,1979757.9278503545,790240.2444627861
102,2,2020-10-06 18:00:00,2020-10-07 02:45:00,1979327.795048688,807398.38857709
103,2,2020-10-05 12:30:00,2020-10-05 15:07:00,1979391.2551967895,775501.957748059
104,2,2020-09-11 10:00:00,2020-09-11 20:00:00,1997396.8996767716,781407.4188612144
105,2,2020-10-07 18:00:00,2020-10-10 11:00:00,1984327.5209520753,792303.9465552978
106,2,2020-09-11 14:30:00,2020-09-11 15:00:00,1997556.4693325774,784157.4923479664
107,2,2020-09-23 13:30:00,2020-09-23 15:30:00,1982039.3269346235,787157.4053047348
108,2,2020-10-13 19:42:00,2020-10-15 18:00:00,1981148.4035814211,786622.1404040263
109,2,2020-09-09 22:00:00,2020-09-15 14:30:00,1993619.9377402223,797211.6432469322
110,2,2020-11-30 15:30:00,2020-11-30 20:00:00,1992270.4682992767,798680.4867335961
111,2,2020-11-05 11:15:00,2020-11-05 11:15:00,1976706.4701891665,797376.9759174576
112,2,2020-10-27 17:00:00,2020-11-01 22:30:00,1982182.644342293,788370.3838271708
113,2,2020-12-20 12:00:00,2020-12-26 20:30:00,1983818.8755969969,789345.1710665307
114,2,2021-01-01 14:00:00,2021-01-02 11:00:00,1981138.1939790896,789399.7317366622
115,2,2021-05-19 09:45:00,2021-05-19 10:00:00,1979544.1256179828,772752.5107005665
116,2,2021-04-18 11:00:00,2021-04-23 02:30:00,1993821.9318766608,794987.7427677803
117,2,2021-07-16 11:15:00,2021-07-16 12:00:00,1981298.7393468495,780882.8905649158
118,2,2021-07-06 15:30:00,2021-07-06 18:00:00,1980934.029769457,777747.0169713167
119,2,2021-08-07 14:00:00,2021-08-08 20:00:00,1983798.1440284434,797390.4108910495
120,2,2021-08-22 12:30:00,2021-08-22 22:30:00,1977940.471283236,800408.9964073641
121,2,2021-08-01 04:00:00,2021-08-05 13:20:00,1992773.2241734788,793245.0879078268
122,2,2021-08-08 20:00:00,2021-08-08 22:00:00,1985369.1119825991,791463.0872251964
123,2,2021-08-22 12:00:00,2021-08-22 15:00:00,1980821.4844516618,804314.3265511405
124,2,2021-08-09 11:26:00,2021-08-09 14:15:00,1994761.8999202098,799366.4698026974
125,2,2021-09-27 15:40:00,2021-10-01 21:00:00,1982139.642117826,788748.6173536485
126,2,2021-09-28 13:30:00,2021-09-28 16:00:00,1982091.8272560434,786326.3379641154
127,2,2021-10-13 11:00:00,2021-10-13 17:00:00,1984326.19437483,792314.6856299316
128,2,2021-10-24 10:30:00,2021-10-24 10:30:00,1997113.2934613128,787282.0115901097
129,2,2021-11-19 16:45:00,2021-11-20 04:00:00,1983583.2998733083,778947.7342514169
130,2,2021-12-18 10:00:00,2021-12-23 08:00:00,1980114.780443201,774139.3446107351
131,2,2021-10-21 07:00:00,2021-10-27 18:30:00,1984326.19437483,792314.6856299316
132,2,2021-10-02 15:00:00,2021-10-04 18:30:00,1991311.2516148814,794113.83575702
133,2,2021-10-29 14:35:00,2021-11-02 18:08:00,1982397.1818596688,786900.1989284479
134,2,2021-11-01 05:00:00,2021-11-01 17:00:00,1996899.4137643115,792084.8029157179
135,2,2021-10-31 11:30:00,2021-11-06 07:14:00,1982410.541735487,789925.6683461545
136,2,2021-11-10 13:00:00,2021-11-17 02:00:00,1982784.2631641717,805427.9137543677
137,2,2021-10-31 04:00:00,2021-10-31 13:45:00,1985925.2038077689,806110.4123153482
138,2,2021-11-10 15:32:00,2021-11-10 20:50:00,1983727.0809327376,796826.0471540147
139,2,2021-11-04 13:05:00,2021-11-05 21:40:00,1982097.6686267075,788140.0168199894
140,2,2022-06-02 11:00:00,2022-06-05 10:22:00,1980844.8832201404,781177.3014723792
141,2,2022-02-16 09:30:00,2022-02-17 11:58:00,1980846.2087959112,781166.1983533467
142,2,2022-02-13 16:45:00,2022-02-14 18:30:00,1982853.8874313617,790349.2968333643
143,2,2022-01-09 11:00:00,2022-01-15 07:00:00,1991327.09035911,791606.5160336212
144,2,2022-02-08 15:30:00,2022-02-09 00:45:00,1993288.3395649123,787942.9514450133
145,2,2022-01-17 14:00:00,2022-01-19 03:19:00,1990011.056812426,791652.4330774625
146,2,2022-02-11 14:30:00,2022-02-14 16:00:00,1997196.4173488496,800361.7184418534
147,2,2022-07-22 06:23:00,2022-07-22 16:00:00,1986092.9920571079,806106.1445348797
148,2,2022-03-22 11:00:00,2022-03-28 15:00:00,1991701.975068787,794426.7763490123
149,2,2022-04-13 06:30:00,2022-04-14 10:00:00,1996212.7945638879,799886.9699834968
150,2,2022-02-03 18:30:00,2022-02-08 11:00:00,1988602.4336332283,789614.29645874
151,2,2022-10-31 05:12:00,2022-11-04 11:00:00,1985081.145434111,789355.7893851555
152,2,2022-11-08 09:15:00,2022-11-08 10:01:00,1981089.2762955113,802874.1014503994
153,2,2022-08-18 20:35:00,2022-08-20 05:00:00,1985462.1723858858,791049.1595623093
154,2,2022-09-15 15:30:00,2022-09-20 15:30:00,1997322.9247480286,800054.8417321381
155,2,2022-10-27 19:00:00,2022-10-31 00:00:00,1995087.9388628674,797582.7416214363
156,2,2022-12-14 11:16:00,2022-12-16 07:30:00,1981647.9782582293,786433.458075756
157,2,2023-03-14 15:00:00,2023-03-21 15:00:00,1996912.3306355132,782799.5145942617
158,2,2023-03-07 07:00:00,2023-03-10 10:00:00,1984326.087788656,792314.6820466468
159,2,2023-04-19 20:00:00,2023-04-20 01:56:00,1983854.3452684546,797062.5633533353
160,2,2023-04-07 19:58:00,2023-04-09 18:00:00,1995742.9069901933,797640.9590153228
161,2,2023-09-21 13:00:00,2023-09-25 15:00:00,1981372.427880567,786559.2977307598
162,2,2023-06-18 10:30:00,2023-06-19 06:00:00,1980844.7737499205,781177.4799077963
163,2,2023-07-22 15:07:00,2023-07-25 07:30:00,1980844.7737499205,781177.4799077963
164,2,2023-06-24 16:30:00,2023-06-24 20:00:00,1983530.3762419522,789214.3840629085
165,2,2023-07-02 22:00:00,2023-07-08 12:00:00,1984989.7115758287,791401.3352262047
166,2,2023-07-03 12:00:00,2023-07-05 22:56:00,1984645.6193626574,789981.6734898433
167,2,2023-06-26 11:30:00,2023-06-26 11:50:00,1994104.4549321462,792104.1929406715
168,2,2023-07-05 23:14:00,2023-07-12 15:00:00,1992197.6300749003,794971.399203026
