Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,geometry
181218,CHPD,SUSPICIOUS VEHICLE,142 BERRY PATCH LN,CHAPEL HILL,NC,27514,1588515240000,1588515240000,1588515240000,TRAFFIC VIOLATI,RESIDENCE/HOME,<Null>,NONE,<Null>,<Null>,<Null>,35.944572,-79.022217,75778,POINT (-79.022217 35.944572)
180548,CHPD,B&E    LARCENY F/VEHICLE,206 ADAMS WAY,CHAPEL HILL,NC,27516,1585459680000,1585454400000,1585459500000,THEFT/LARCENY,RESIDENCE/HOME,<Null>,<Null>,50,W,M,35.894224,-79.06683,75816,POINT (-79.06683 35.894224)
181219,CHPD,B&E    LARCENY F/VEHICLE,225 ASHLEY FOREST RD,CHAPEL HILL,NC,27514,1588511040000,1588511040000,1588511040000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,Y,OTHER,72,W,F,35.944782,-79.056099,75820,POINT (-79.056099 35.944782)
180456,CHPD,B&E    LARCENY F/VEHICLE,500 WEAVER DAIRY RD,CHAPEL HILL,NC,27514,1585065240000,1585062000000,1585065240000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,<Null>,<Null>,21,W,F,35.960632,-79.02858,75862,POINT (-79.02858 35.960632)
180929,CHPD,LARCENY FROM MOTOR VEHICLE,1105 NC 54,CHAPEL HILL,NC,27514,1587232500000,1587229500000,1587232500000,THEFT/LARCENY,PARK/PLAYGROUND,N,<Null>,39,W,F,35.898037,-79.067749,75867,POINT (-79.067749 35.898037)
180952,CHPD,B&E LARCENY F/VEHICLE,111 PINEGATE CIR,CHAPEL HILL,NC,27514,1587383040000,1587319200000,1587382200000,MISC OFFICER IN,PARKING/DROP LOT/GARAGE,<Null>,NONE,29,W,F,35.947028,-79.009807,75877,POINT (-79.009807 35.947028)
180953,CHPD,CAR RAN OFF ROAD,FORDHAM BLVD/E FRANKLIN ST,CHAPEL HILL,NC,27514,1587385080000,1587384900000,1587385080000,TRAFFIC/TRANSPO,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,N,<Null>,<Null>,<Null>,<Null>,35.939071,-79.02295,75881,POINT (-79.02295 35.939071)
180200,CHPD,CREDIT CARD/ATM FRAUD,103 COBBLE RIDGE DR,CHAPEL HILL,NC,27516,1584028860000,1583323200000,1584028860000,MISC OFFICER IN,<Null>,<Null>,<Null>,54,W,M,35.892304,-79.073581,75903,POINT (-79.073581 35.892304)
180998,CHPD,B&E    LARCENY F/VEHICLE,409 CHURCH ST,CHAPEL HILL,NC,27516,1587645540000,1587590100000,1587593700000,MISC OFFICER IN,PARKING/DROP LOT/GARAGE,<Null>,NONE,21,W,M,35.915288,-79.060137,75914,POINT (-79.060137 35.915288)
180886,CHPD,B&E VEHICLE,319 PROVIDENCE RD,CHAPEL HILL,NC,27514,1587076800000,1587076800000,1587076800000,THEFT/LARCENY,PARKING/DROP LOT/GARAGE,Y,<Null>,<Null>,<Null>,<Null>,35.952693,-79.005727,75927,POINT (-79.005727 35.952693)
181008,CHPD,SUSPICIOUS VEHICLE,277 CLARK LAKE RD,DURHAM,NC,27707,1587683340000,1587682800000,1587683340000,SUSPICIOUS/WANT,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,NONE,<Null>,<Null>,<Null>,35.939598,-79.000885,75978,POINT (-79.000885 35.939598)
180944,CHPD,K-9 VEHICLE SNIFF,998 MARTIN LUTHER KING JR BLVD/ESTES DR,CHAPEL HILL,NC,27514,1587339960000,1587339900000,1587339960000,MVC W INJURY,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK,<Null>,NONE,<Null>,<Null>,<Null>,35.934032,-79.054382,75991,POINT (-79.054382 35.934032)
